doi,server,version,category,publiStatus,date,author_corresponding_institution,titleLength,abstractLength,numberAuthors,cit1year
10.1101/160770,biorxiv,2,genomics,year1,2018-07-16,University of Chicago,132,1393,2,14.0
10.1101/163394,biorxiv,2,neuroscience,year1,2018-03-15,University of Texas Southwestern Medical Center,79,1061,11,31.0
10.1101/170209,biorxiv,2,neuroscience,NP,2018-08-16,University of Virginia,49,1921,10,
10.1101/170381,biorxiv,2,neuroscience,NP,2019-07-09,"Rotman Research Institute, Baycrest Health Sciences",90,1467,2,
10.1101/189712,biorxiv,2,neuroscience,NP,2018-03-08,"Imaging Genetics Center, Mark and Mary Stevens Neuroimaging and Informatics Institute",58,2314,2,
10.1101/19002378,medrxiv,1,neurology,year1,2019-07-16,King\'s College London,100,3104,7,4.0
10.1101/19004804,medrxiv,1,neurology,NP,2019-09-05,"Sorbonne Universite, APHP, Inserm, ICM",141,2211,20,
10.1101/19004820,medrxiv,1,neurology,year1,2019-08-29,"Swiss Integrative Center for Human Health, Fribourg, Switzerland",68,1595,7,0.0
10.1101/19005512,medrxiv,1,occupational and environmental health,year1,2019-08-31,"Alzheimer Center Amsterdam, Department of Neurology, Vrije Universiteit Amsterdam, Amsterdam UMC",116,2064,10,1.0
10.1101/19005819,medrxiv,1,neurology,year1,2019-09-11,University of Oxford,118,3330,14,2.0
10.1101/19006676,medrxiv,1,neurology,year2,2019-09-20,"Alzheimer Center Amsterdam, Department of Neurology, Amsterdam Neuroscience, Vrije Universiteit Amsterdam, Amsterdam UMC, Amsterdam, the Netherlands",98,1950,15,4.0
10.1101/19007146,medrxiv,1,psychiatry and clinical psychology,year1,2019-09-27,"Steno Diabetes Center Copenhagen, Gentofte, Denmark",199,1251,45,0.0
10.1101/19007666,medrxiv,1,neurology,year1,2019-09-27,Case Western Reserve University,131,2135,4,17.0
10.1101/19008318,medrxiv,1,neurology,year1,2019-10-08,"VA San Diego Healthcare System/University of California, San Diego",76,1677,8,4.0
10.1101/19008615,medrxiv,1,neurology,year1,2019-10-10,"CRIUGM, University of Montreal",89,1476,10,6.0
10.1101/19008631,medrxiv,1,psychiatry and clinical psychology,year1,2019-10-16,Shanxi University,144,2310,14,2.0
10.1101/19009092,medrxiv,1,genetic and genomic medicine,year1,2019-11-02,Brigham Young University,58,1048,3,1.0
10.1101/19009316,medrxiv,1,neurology,NP,2019-10-22,University of Oxford,135,2635,15,
10.1101/19009464,medrxiv,1,genetic and genomic medicine,year1,2019-10-18,"Amsterdam UMC, Amsterdam",94,2252,11,5.0
10.1101/19009597,medrxiv,1,neurology,NP,2019-10-29,Yale University,142,1541,2,
10.1101/19009662,medrxiv,1,genetic and genomic medicine,year1,2019-10-18,"Department of Neuropsychology, Institute of Cognitive Neuroscience, Faculty of Psychology, Ruhr University Bochum, Bochum, Germany",82,1084,20,7.0
10.1101/19009696,medrxiv,1,psychiatry and clinical psychology,year1,2019-10-22,"National Institute on Aging, NIH",91,1099,6,3.0
10.1101/19010041,medrxiv,1,radiology and imaging,year2,2019-10-29,University of Pennsylvania,86,1428,4,1.0
10.1101/19011015,medrxiv,1,pathology,year1,2019-11-02,"Banner Alzheimers Institute, Arizona Alzheimers Consortium, University of Arizona, and Arizona State University, Phoenix, AZ, USA.",73,1012,39,45.0
10.1101/19011189,medrxiv,1,neurology,year1,2019-11-08,University of Cambridge,85,2942,15,1.0
10.1101/19011825,medrxiv,1,neurology,year1,2019-11-14,UC Irvine,103,993,6,1.0
10.1101/19012021,medrxiv,1,genetic and genomic medicine,NP,2019-11-15,"Research Center and Memory clinic Fundació ACE, Institut Català de Neurociències Aplicades",138,3701,41,
10.1101/19013441,medrxiv,1,epidemiology,year2,2019-12-04,UCSF,124,2054,9,5.0
10.1101/19013466,medrxiv,1,neurology,year1,2019-12-04,University of Cambridge,109,1559,8,2.0
10.1101/190165,biorxiv,2,genetics,year1,2019-05-21,Australian National University,96,2478,3,6.0
10.1101/190207,biorxiv,2,neuroscience,year1,2018-03-28,IBM Research -- Australia,62,1871,4,4.0
10.1101/190363,biorxiv,2,genomics,year1,2018-09-18,"Federal University of Sao Paulo, Brazil",71,1241,4,0.0
10.1101/194092,biorxiv,2,neuroscience,year1,2018-10-27,University of Cambridge,120,2792,5,13.0
10.1101/194266,biorxiv,4,genetics,NP,2021-01-13,Lille University School of Medicine,157,1188,40,
10.1101/196410,biorxiv,2,neuroscience,year1,2019-07-22,"Imaging Genetics Center,  Stevens Neuroimaging and Informatics Institute",113,2726,9,5.0
10.1101/2019.12.10.19014365,medrxiv,1,epidemiology,year1,2019-12-14,University of Michigan,70,913,4,2.0
10.1101/2019.12.11.871681,biorxiv,1,neuroscience,year1,2019-12-17,"McGill University, Douglas Hospital Research Centre",155,2160,6,4.0
10.1101/2019.12.11.872606,biorxiv,1,neuroscience,NP,2019-12-12,Ecole Normale Superieure Paris-Saclay,137,1517,22,
10.1101/2019.12.12.874784,biorxiv,1,neuroscience,NP,2019-12-20,University of Pittsburgh,95,1096,3,
10.1101/2019.12.13.19014860,medrxiv,1,neurology,year1,2019-12-15,H. Lundbeck A/S,97,2004,1,1.0
10.1101/2019.12.13.19014902,medrxiv,1,radiology and imaging,NP,2019-12-15,Washington University in St. Louis,106,1020,13,
10.1101/2019.12.13.875112,biorxiv,1,bioinformatics,NP,2019-12-13,University of California Los Angeles,119,1006,13,
10.1101/2019.12.13.875823,biorxiv,1,neuroscience,year1,2019-12-15,Sunnybrook Research Institute,104,966,19,4.0
10.1101/2019.12.15.868026,biorxiv,1,neuroscience,year1,2019-12-15,Otto-von-Guericke University Magdeburg,131,1728,12,5.0
10.1101/2019.12.16.876888,biorxiv,1,molecular biology,year1,2019-12-16,"Center for Molecular Biology of Heidelberg University (ZMBH) and German Cancer Research Center (DKFZ), DKFZ-ZMBH Alliance, Im Neuenheimer Feld 282, 69120 Heidel",112,1309,12,19.0
10.1101/2019.12.16.878397,biorxiv,1,neuroscience,NP,2019-12-17,Cornell University,134,1892,16,
10.1101/2019.12.18.19013847,medrxiv,1,genetic and genomic medicine,year2+,2019-12-21,University of Bristol,86,2231,9,9.0
10.1101/2019.12.18.881342,biorxiv,1,neuroscience,NP,2019-12-22,University of Lethbridge,170,2494,7,
10.1101/2019.12.18.881441,biorxiv,1,neuroscience,year1,2019-12-19,University of Pennsylvania,97,3087,10,4.0
10.1101/2019.12.19.877373,biorxiv,1,neuroscience,year1,2019-12-19,National Taiwan University,155,1475,7,1.0
10.1101/2019.12.19.882522,biorxiv,1,genetics,year1,2019-12-26,RIKEN,67,3634,22,6.0
10.1101/2019.12.20.874099,biorxiv,1,genomics,year2,2019-12-20,Wellcome Trust Sanger Institute,82,1084,36,43.0
10.1101/2019.12.20.883074,biorxiv,1,neuroscience,year2,2019-12-20,University of Southern California,64,1014,9,1.0
10.1101/2019.12.20.884205,biorxiv,1,neuroscience,NP,2019-12-21,Inserm U1167 - Institut Pasteur de Lille - Université de Lille,116,1720,13,
10.1101/2019.12.20.884437,biorxiv,1,neuroscience,NP,2019-12-22,University of Southampton,80,1377,5,
10.1101/2019.12.20.884783,biorxiv,1,neuroscience,year1,2019-12-21,King's College London,106,945,8,6.0
10.1101/2019.12.20.884932,biorxiv,1,bioinformatics,year2,2019-12-23,Northwestern University,145,1765,9,7.0
10.1101/2019.12.23.885186,biorxiv,1,neuroscience,year1,2019-12-23,Albert Einstein College of Medicine,71,1412,18,7.0
10.1101/2019.12.23.887364,biorxiv,1,bioinformatics,year1,2019-12-26,"Krembil Centre for Neuroinformatics, Centre for Addiction and Mental Health, Toronto, ON, Canada",130,1922,9,2.0
10.1101/2019.12.23.887489,biorxiv,1,genetics,year1,2019-12-23,The Jackson Laboratory,79,1614,7,3.0
10.1101/2019.12.24.888206,biorxiv,1,neuroscience,year1,2019-12-26,King's College London,139,1730,13,1.0
10.1101/2019.12.25.888479,biorxiv,1,systems biology,year1,2019-12-27,University of Oxford,118,1451,2,2.0
10.1101/2019.12.26.888727,biorxiv,1,neuroscience,year1,2019-12-28,"The Azrieli Faculty of Medicine, Bar-Ilan University, Safed, Israel.",114,1688,4,3.0
10.1101/2019.12.30.19016105,medrxiv,1,endocrinology,year2,2020-01-02,The Feinstein Institutes for Medical Research,158,2199,14,5.0
10.1101/2019.12.30.891499,biorxiv,1,neuroscience,year2,2019-12-31,National Taiwan University,168,1210,7,0.0
10.1101/2019.12.31.876946,biorxiv,1,pathology,NP,2020-01-02,Virginia Tech,114,1686,16,
10.1101/2019.12.31.889139,biorxiv,1,neuroscience,NP,2020-01-02,"Department of Neuroscience, Yale School of Medicine, New Haven, CT, USA; Departments of Genetics, Psychiatry, and Comparative Medicine, Program in Cellular Neur",64,1230,14,
10.1101/2019.12.31.892026,biorxiv,1,genomics,year1,2020-01-02,"Interdisciplinary Nanoscience Center (iNANO), Aarhus University",122,1607,4,7.0
10.1101/2020.01.03.894451,biorxiv,1,neuroscience,year2,2020-01-06,Banner Sun Health Research Institute,79,2732,2,7.0
10.1101/2020.01.04.20016535,medrxiv,1,pharmacology and therapeutics,NP,2020-01-10,Jahangirnagar University,103,1679,3,
10.1101/2020.01.05.894931,biorxiv,1,genetics,year1,2020-01-06,Shanghai University of Traditional Chinese Medicine,134,1140,3,0.0
10.1101/2020.01.06.20016543,medrxiv,1,psychiatry and clinical psychology,year2,2020-01-10,National Institute of Mental Health and Neuro Sciences (NIMHANS),91,1490,17,4.0
10.1101/2020.01.06.896159,biorxiv,1,genomics,year1,2020-01-06,Stanford University,99,1602,17,49.0
10.1101/2020.01.06.896217,biorxiv,1,neuroscience,year1,2020-01-07,Vanderbilt University Medical Center,114,3008,9,3.0
10.1101/2020.01.06.896381,biorxiv,1,biochemistry,year1,2020-01-06,"Laboratory of Molecular and Chemical Biology of Neurodegeneration, Brain Mind Institute, Ecole Polytechnique Federale de Lausanne (EPFL), CH-1015 Lausanne, Swit",137,1835,6,7.0
10.1101/2020.01.06.896670,biorxiv,1,cell biology,year1,2020-01-06,University of Washington,126,1940,9,22.0
10.1101/2020.01.08.19015214,medrxiv,1,neurology,year1,2020-01-10,MRC Prion Unit at UCL,108,1187,8,3.0
10.1101/2020.01.08.897488,biorxiv,1,biophysics,year1,2020-01-11,University of Cambridge,90,930,12,56.0
10.1101/2020.01.08.898304,biorxiv,1,neuroscience,year2+,2020-01-09,"Leibniz Institute for Neurobiology, ZMNH, Center for Behavioral Brain Sciences, German Center for Neurodegenerative Diseases",108,1011,14,6.0
10.1101/2020.01.08.898916,biorxiv,1,genomics,NP,2020-01-09,Vanda Pharmaceuticals Inc.,105,2051,2,
10.1101/2020.01.09.900407,biorxiv,1,neuroscience,NP,2020-01-10,"Department of Microbiology & Immunology, Columbia University, Vagelos College of Physicians & Surgeons, New York, NY 10032, USA",99,983,15,
10.1101/2020.01.10.20016741,medrxiv,1,neurology,year1,2020-01-14,Columbia University,94,1245,10,0.0
10.1101/2020.01.10.896415,biorxiv,1,neuroscience,NP,2020-01-16,"L.C. Campbell Cognitive Neurology Research Unit, Hurvitz Brain Sciences Program, Sunnybrook Research Institute, University of Toronto, Toronto, ON, Canada",204,1990,21,
10.1101/2020.01.10.901926,biorxiv,1,neuroscience,NP,2020-01-10,National University of Singapore,116,1550,6,
10.1101/2020.01.12.903187,biorxiv,1,neuroscience,year1,2020-01-14,MDC,124,1085,8,4.0
10.1101/2020.01.12.903658,biorxiv,1,neuroscience,year1,2020-01-14,University of Southern California,142,1544,1,1.0
10.1101/2020.01.13.904854,biorxiv,1,biochemistry,year1,2020-01-14,UT Austin,85,2373,6,1.0
