doi,server,version,category,publiStatus,date,author_corresponding_institution,titleLength,abstractLength,numberAuthors,cit1year
10.1101/069971,biorxiv,4,genetics,NP,2018-03-19,Ocean University of China,106,1579,8,
10.1101/111856,biorxiv,3,genetics,NP,2019-02-22,"Stanford University, European Molecular Biology Laboratory (EMBL)",116,3046,3,
10.1101/140343,biorxiv,2,neuroscience,year2,2019-03-18,University of Toronto,74,1083,14,4.0
10.1101/140616,biorxiv,4,molecular biology,NP,2018-03-03,King Abdullah University of Science and Technology,99,1184,5,
10.1101/148544,biorxiv,5,evolutionary biology,year1,2018-03-23,"University of Maryland, College Park",66,1054,3,3.0
10.1101/154450,biorxiv,9,bioengineering,NP,2018-03-26,Stanford University,118,1014,6,
10.1101/169011,biorxiv,2,microbiology,year1,2018-03-16,Wadsworth Center,142,2286,3,8.0
10.1101/172650,biorxiv,2,molecular biology,year1,2018-05-09,UMass Medical School,65,1820,19,17.0
10.1101/174086,biorxiv,2,genetics,year1,2018-03-24,University of Michigan,80,2767,8,1.0
10.1101/176651,biorxiv,1,genetics,year1,2018-02-10,Mayo Clinic,126,2588,13,13.0
10.1101/178905,biorxiv,2,molecular biology,NP,2019-11-20,"HHMI and University of California, San Francisco",69,2895,6,
10.1101/187757,biorxiv,1,bioengineering,NP,2018-02-25,"Department of Biomedical Sciences, University of Ulsan College of Medicine, Asan Medical Center",58,721,4,
10.1101/188847,biorxiv,2,molecular biology,year1,2018-01-24,European Molecular Biology Laboratory,87,1763,6,9.0
10.1101/188946,biorxiv,2,cell biology,year1,2018-02-23,University of Bristol,86,1150,9,1.0
10.1101/190397,biorxiv,2,genetics,year1,2018-01-08,"New York Genome Center, NY, USA",86,1278,10,27.0
10.1101/2019.12.12.874289,biorxiv,1,genetics,NP,2019-12-13,Georg-August-University,100,1117,6,
10.1101/2019.12.12.874396,biorxiv,1,plant biology,NP,2019-12-13,Cornell University,99,1262,15,
10.1101/2019.12.12.874990,biorxiv,1,microbiology,year1,2019-12-13,Glasgow University,150,1764,6,4.0
10.1101/2019.12.13.874776,biorxiv,1,cancer biology,NP,2019-12-18,Harvard Medical School,163,1161,3,
10.1101/2019.12.13.875278,biorxiv,1,scientific communication and education,NP,2019-12-16,Independent,101,1466,1,
10.1101/2019.12.13.875765,biorxiv,1,microbiology,year1,2019-12-13,"Institute of Integrative Biology of the Cell (I2BC), CEA, CNRS, Universite Paris-Saclay",117,1589,3,5.0
10.1101/2019.12.15.867150,biorxiv,1,synthetic biology,NP,2019-12-16,MIT,71,1610,5,
10.1101/2019.12.15.876920,biorxiv,1,physiology,year1,2019-12-15,"Departments of Developmental Biology and of Medicine (Endocrinology and Oncology Divisions), Stanford University School of Medicine, Stanford, CA, 94305, USA; S",74,1149,5,4.0
10.1101/2019.12.15.877001,biorxiv,1,microbiology,year1,2019-12-15,Free University of Berlin,102,1625,4,1.0
10.1101/2019.12.15.877100,biorxiv,1,microbiology,year2,2019-12-16,Chan Zuckerberg Biohub,103,1299,5,6.0
10.1101/2019.12.16.876631,biorxiv,1,cancer biology,year1,2019-12-17,"Department of Data Sciences, Dana-Farber Cancer Institute, Harvard T.H. Chan School of Public Health, Boston, MA 02115, USA.",104,1052,17,3.0
10.1101/2019.12.17.864520,biorxiv,1,neuroscience,year1,2019-12-20,University of Oxford,234,1661,9,3.0
10.1101/2019.12.17.876862,biorxiv,1,synthetic biology,year1,2019-12-19,Qihan Bio,47,1689,41,20.0
10.1101/2019.12.17.879304,biorxiv,1,genomics,year2,2019-12-18,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,82,1221,6,33.0
10.1101/2019.12.17.879585,biorxiv,1,molecular biology,year1,2019-12-18,University of Copenhagen,133,1607,4,6.0
10.1101/2019.12.18.867333,biorxiv,1,cell biology,NP,2019-12-20,"Section of Cell Biology, Center for Molecular Medicine, University Medical Center Utrecht, Heidelberglaan 100, 3584 CX Utrecht, the Netherlands",146,1987,22,
10.1101/2019.12.18.881250,biorxiv,1,evolutionary biology,NP,2019-12-19,Institut de Biologie de l'ENS,56,1326,4,
10.1101/2019.12.19.882027,biorxiv,1,microbiology,NP,2019-12-19,University of Exeter,58,1907,8,
10.1101/2019.12.19.882191,biorxiv,1,genetics,NP,2019-12-19,Johns Hopkins University School of Medicine,200,3479,18,
10.1101/2019.12.20.884130,biorxiv,1,systems biology,NP,2019-12-21,University of Southampton,151,1475,11,
10.1101/2019.12.20.885350,biorxiv,1,plant biology,year1,2019-12-20,University of Georgia,99,1605,17,5.0
10.1101/2019.12.20.885426,biorxiv,1,genomics,NP,2019-12-21,The Children's Hospital of Philadelphia Research Institute,111,2328,15,
10.1101/2019.12.22.886085,biorxiv,1,synthetic biology,NP,2019-12-23,"INSERM U1284. Systems engineering and evolution dynamics, Paris, France; Center for research and Interdisciplinarity (CRI), Universite de Paris, Paris, France",130,1572,3,
10.1101/2019.12.23.886945,biorxiv,1,cell biology,year1,2019-12-23,University of Kansas Medical Center,84,2062,5,3.0
10.1101/2019.12.23.887224,biorxiv,1,genetics,year1,2019-12-23,University of Geneva,112,912,7,2.0
10.1101/2019.12.24.886168,biorxiv,1,synthetic biology,year2,2019-12-26,Technion - Israel Institute of Technology,133,1786,7,2.0
10.1101/2019.12.24.887851,biorxiv,1,cancer biology,year1,2019-12-24,Netherlands Cancer Institute,133,1219,4,0.0
10.1101/2019.12.24.887893,biorxiv,1,bioengineering,year1,2019-12-24,Deutsche Zentrum fur Hochschul- und Wissenchaftsforschung,135,2051,3,0.0
10.1101/2019.12.25.888032,biorxiv,1,molecular biology,year1,2019-12-27,University of Ghent,87,1557,6,13.0
10.1101/2019.12.27.889089,biorxiv,1,genomics,year1,2019-12-28,New York Genome Center and NYU,43,1553,6,31.0
10.1101/2019.12.31.889626,biorxiv,1,molecular biology,year1,2019-12-31,"National Primate Research Center (NPRC), Korea Research Institute of Bioscience and Biotechnology (KRIBB), Cheongju, Korea",99,1201,13,8.0
10.1101/2019.12.31.892018,biorxiv,1,microbiology,year1,2020-01-01,Baylor College of Medicine,67,1109,15,14.0
10.1101/2020.01.01.888610,biorxiv,1,genomics,NP,2020-01-02,"Department of Immunology, Weizmann Institute of Science, Rehovot, Israel",146,1419,12,
10.1101/2020.01.01.892521,biorxiv,1,cell biology,year1,2020-01-01,Ludwig-Maximilians-University Munich,88,1098,3,1.0
10.1101/2020.01.02.892679,biorxiv,1,bioengineering,year1,2020-01-02,Yonsei University,109,829,7,3.0
10.1101/2020.01.02.892760,biorxiv,1,developmental biology,NP,2020-01-02,National University of Singapore,65,1214,2,
10.1101/2020.01.03.882431,biorxiv,1,synthetic biology,year1,2020-01-03,Columbia University,75,1278,4,11.0
10.1101/2020.01.03.894246,biorxiv,1,molecular biology,year1,2020-01-03,University of Colorado Boulder,105,1074,4,0.0
10.1101/2020.01.04.894824,biorxiv,1,neuroscience,year1,2020-01-06,"Department of Biological Sciences, Indian Institute of Science Education and Research (IISER) Mohali, Knowledge City, Sector 81, SAS Nagar, Manauli PO 140306, P",127,1304,5,1.0
