doi,server,version,category,publiStatus,date,author_corresponding_institution,titleLength,abstractLength,numberAuthors,cit1year
10.1101/2020.08.10.20172262,medrxiv,1,infectious diseases,year1,2020-08-11,"Division of Infectious Diseases, Sunnybrook Health Sciences Centre, University of Toronto",100,1731,11,3.0
10.1101/2021.07.12.21259864,medrxiv,1,infectious diseases,year1,2021-07-14,"Laboratory of Molecular Microbiology and Biotechnology, Department of Medical Biotechnologies, University of Siena; Siena, Italy",102,1398,14,49.0
10.1101/2021.04.21.425900,biorxiv,1,plant biology,NP,2021-04-22,University of Georgia,75,1007,1,
10.1101/2022.12.23.521847,biorxiv,1,bioinformatics,NP,2022-12-27,"Laboratory of Population Genetics and Computational Evolutionary Biology - LaBECom, UNIVISA, Vitoria de Santo Antao, Pernambuco, Brazil",110,1002,4,
10.1101/2021.03.13.21253531,medrxiv,1,transplantation,NP,2021-03-15,Tehran University of Medical Sciences,171,1529,6,
10.1101/2020.06.23.168187,biorxiv,1,neuroscience,year1,2020-06-24,"Melbourne School of Psychological Sciences, The University of Melbourne",83,2470,5,2.0
10.1101/2022.08.08.503121,biorxiv,1,microbiology,year1,2022-08-09,Indian Institute of Science,85,2162,6,0.0
10.1101/2022.11.08.515579,biorxiv,1,bioinformatics,NP,2022-11-09,Cedars-Sinai Medical Center,120,1261,4,
10.1101/2021.09.22.461353,biorxiv,1,biochemistry,year1,2021-09-22,University of Illinois at Urbana-Champaign,87,1082,7,2.0
10.1101/2021.12.28.474337,biorxiv,1,neuroscience,year1,2021-12-28,UCLA,88,1368,8,6.0
10.1101/2021.09.27.21264058,medrxiv,1,public and global health,year2,2021-09-29,American University of Beirut,93,1990,6,0.0
10.1101/2021.08.25.457658,biorxiv,1,immunology,year1,2021-08-27,"Western University, London, Ontario, Canada",121,1179,4,1.0
10.1101/2020.11.23.20236992,medrxiv,1,neurology,year1,2020-11-24,"Rostock University Medical Center, Department of Neurology",84,2429,4,2.0
10.1101/2021.08.18.456709,biorxiv,1,neuroscience,year1,2021-08-19,University Hospital Cologne and CECAD,92,1046,16,11.0
10.1101/444109,biorxiv,1,microbiology,year2+,2018-10-17,"Weizmann Institute of Science, Israel",77,1094,8,1.0
10.1101/2020.05.28.120485,biorxiv,1,bioinformatics,NP,2020-05-30,Universiti Sains Malaysia,108,1299,4,
10.1101/2021.05.11.21256908,medrxiv,1,infectious diseases,NP,2021-05-17,Faculdade de Medicina da Universidade de Sao Paulo-Laboratorio de Investigacao Medica em Virologia (LIM52)-Instituto de Medicina Tropical de Sao Paulo,133,725,10,
10.1101/2020.12.03.20242032,medrxiv,1,obstetrics and gynecology,year1,2020-12-04,NorthShore University HealthSystem,87,1121,7,2.0
10.1101/406074,biorxiv,1,neuroscience,year1,2018-09-05,Cold Spring Harbor Laboratory,91,812,3,0.0
10.1101/2021.08.18.456795,biorxiv,1,physiology,NP,2021-08-19,"Institute of Molecular, Cell and Systems Biology, College of Medical, Veterinary and Life Sciences, University of Glasgow",86,1346,11,
10.1101/2020.09.10.291377,biorxiv,1,bioinformatics,year1,2020-09-11,University of Utah,65,528,6,3.0
10.1101/2020.08.07.242172,biorxiv,1,cell biology,NP,2020-08-07,Carnegie Institution for Science,108,1062,13,
10.1101/2020.10.22.328864,biorxiv,1,bioinformatics,NP,2020-10-22,Databiology Ltd,62,892,4,
10.1101/338624,biorxiv,1,neuroscience,year1,2018-06-04,University of Pittsburgh,85,1081,7,1.0
10.1101/2022.04.13.22273827,medrxiv,1,infectious diseases,year1,2022-04-16,University of Notre Dame Department of Biological Sciences,96,1309,6,1.0
10.1101/2022.05.08.491034,biorxiv,1,pathology,NP,2022-05-08,"Department of Medicine, Division of Gastroenterology and Hepatology, Johns Hopkins University School of Medicine, Baltimore, MD",154,4170,14,
10.1101/2021.08.09.455730,biorxiv,1,cell biology,year1,2021-08-10,Transilvania University of Brasov: Universitatea Transilvania din Brasov,66,1491,4,1.0
10.1101/844175,biorxiv,1,evolutionary biology,year1,2019-11-16,Senckenberg Deutsches Entomologisches Institut,75,782,5,16.0
10.1101/2021.04.03.21254866,medrxiv,1,public and global health,year1,2021-04-07,Monash University,80,2121,9,9.0
10.1101/2021.07.31.454602,biorxiv,1,neuroscience,year1,2021-08-02,kaist/physics,98,993,8,0.0
10.1101/539528,biorxiv,1,bioinformatics,NP,2019-02-03,Université Libre de Bruxelles,52,1248,3,
10.1101/2020.10.20.340950,biorxiv,1,pharmacology and toxicology,NP,2020-10-21,Cairo university,86,1812,6,
10.1101/2020.04.30.070656,biorxiv,1,evolutionary biology,year1,2020-05-01,University of Colorado,118,1323,11,0.0
10.1101/551275,biorxiv,1,bioinformatics,NP,2019-02-15,Helmholtz Zentrum Munich,140,1078,1,
10.1101/2020.02.25.965137,biorxiv,1,bioengineering,year1,2020-02-27,University of Washington,70,946,9,9.0
10.1101/2022.01.01.474692,biorxiv,1,biophysics,NP,2022-01-02,Biological E. Limited,80,1179,4,
10.1101/2021.12.01.470866,biorxiv,1,bioengineering,year1,2021-12-02,Indian Institute of Science,95,1491,7,3.0
10.1101/2022.07.02.22277186,medrxiv,1,epidemiology,NP,2022-07-05,Princeton University,132,2622,12,
10.1101/2022.08.26.505392,biorxiv,1,evolutionary biology,year1,2022-08-26,University of Oslo,60,1433,5,0.0
10.1101/637561,biorxiv,1,genetics,year1,2019-05-18,"University of North Carolina, Chapel Hill",148,1398,3,3.0
10.1101/2020.11.25.20238998,medrxiv,1,otolaryngology,NP,2020-11-30,"Hospital Militar Universitario \""Dr carlos Arvelo\""",162,2011,18,
10.1101/642777,biorxiv,1,neuroscience,NP,2019-05-20,"Boston Childrens Hospital, Harvard Medical School",114,1144,3,
10.1101/871459,biorxiv,1,plant biology,year1,2019-12-10,University of British Columbia,130,1767,9,3.0
10.1101/2022.09.12.22279849,medrxiv,1,genetic and genomic medicine,NP,2022-09-13,"Infection, Immunity&Inflammation, Institute of Child Health, University College London, London, UK",154,1424,13,
10.1101/2022.11.22.517073,biorxiv,1,genomics,NP,2022-11-22,Institut Pasteur,90,1758,31,
10.1101/815589,biorxiv,1,microbiology,year1,2019-10-22,UMASS Medical School,64,1396,7,1.0
10.1101/2022.08.13.503857,biorxiv,1,microbiology,NP,2022-08-15,"City Clinical Hospital of Pyatigorsk, Stavropol region, Russia",154,1017,4,
10.1101/2020.07.30.228619,biorxiv,1,molecular biology,year1,2020-07-30,Weizmann Institute of Science,76,2420,6,2.0
10.1101/2022.08.17.504237,biorxiv,1,genomics,year1,2022-08-17,"Plant Breeding Institute, Christian-Albrechts-University of  Kiel, Germany",102,1760,8,0.0
10.1101/2021.07.26.453894,biorxiv,1,genomics,NP,2021-07-26,"College of Veterinary Medicine, Sichuan Agricultural University",145,1344,16,
10.1101/2020.08.23.20177501,medrxiv,1,infectious diseases,year1,2020-08-25,University of Louisville,173,3121,10,11.0
10.1101/2020.04.03.023432,biorxiv,1,cancer biology,year1,2020-04-04,Massachusetts General Hospital,81,963,13,4.0
10.1101/2021.12.26.474226,biorxiv,1,cell biology,NP,2021-12-27,Osaka City University,138,1147,12,
10.1101/2022.05.10.491428,biorxiv,1,cell biology,NP,2022-05-11,The University of British Columbia,77,2262,11,
10.1101/2020.09.08.288530,biorxiv,1,plant biology,year2,2020-09-09,"School of Life and Environmental Sciences, Sydney Institute of Agriculture, The University of Sydney, Brownlow Hill, NSW 2570, Australia.",82,1599,3,4.0
10.1101/2020.08.27.20183350,medrxiv,1,epidemiology,year1,2020-09-01,iowa state university,102,1000,3,1.0
10.1101/2021.07.25.21261112,medrxiv,1,psychiatry and clinical psychology,year2,2021-07-30,Zucker School of Medicine at Hofstra/Northwell,124,1739,11,1.0
10.1101/2020.08.10.243824,biorxiv,1,bioinformatics,NP,2020-08-10,university of ilorin,142,1301,9,
10.1101/436006,biorxiv,1,epidemiology,NP,2018-10-11,Mahidol-Oxford Tropical Medicine Research Unit,96,2781,8,
10.1101/2021.04.01.21254755,medrxiv,1,infectious diseases,NP,2021-04-07,SYNLAB Estonia,77,409,8,
10.1101/2021.09.10.21261667,medrxiv,1,cardiovascular medicine,NP,2021-09-15,Weill Cornell Medical College,107,1863,2,
10.1101/532804,biorxiv,1,bioinformatics,NP,2019-01-28,Universita degli Studi di Bari Aldo Moro,132,2385,4,
10.1101/2021.10.04.21264483,medrxiv,1,infectious diseases,NP,2021-10-05,Montreal Heart Institute,184,1831,11,
10.1101/2020.12.30.422650,biorxiv,1,cancer biology,NP,2020-12-31,"Department of Biochemistry, University of Cambridge, 80 Tennis Court Road, Cambridge CB2 1GA, UK",54,1358,11,
10.1101/765271,biorxiv,1,systems biology,year1,2019-09-11,"Department of Biology, University of Florence, Sesto Fiorentino, Italy",124,1926,5,11.0
10.1101/2022.10.25.513089,biorxiv,1,bioengineering,year1,2022-10-27,"Department of Physics, Washington University in St. Louis, St. Louis, Missouri 63130, USA, Department of Radiology, Washington University School of Medicine, St",92,1700,9,6.0
10.1101/2022.04.20.22274081,medrxiv,1,public and global health,NP,2022-04-21,Charles River Medical Group,129,3428,11,
10.1101/2020.11.07.20226258,medrxiv,1,neurology,NP,2020-11-10,"Osaka university, Graduate School of Medicine",120,3432,7,
10.1101/2021.07.23.453557,biorxiv,1,genetics,NP,2021-07-24,The Jackson Laboratory,136,1879,9,
10.1101/2020.05.26.117234,biorxiv,1,systems biology,year1,2020-05-29,"Department of Biological and Medical Sciences, Oxford Brookes University, United Kingdom",96,993,13,7.0
10.1101/2022.08.03.502617,biorxiv,1,scientific communication and education,year1,2022-08-05,"Department for Microphysiological Systems, Institute of Biomedical Engineering, Eberhard Karls University Tuebingen, Tuebingen, Germany",70,1430,5,2.0
